RefDes,Value,Name,Pattern,
BUT1,,PCB_Pushbutton,Pushbutton,1
"C1,C4,C10",10 uF,CAP_SMD_A,TC_1306,3
"C2-C3,C6-C7,C9,C11-C13,C19-C20",100 nF,CAP_0603,CAP_0603,10
"C5,C8,C14",1 UF,CAP_0603,CAP_0603,3
C15,2.2 uF,CAP_SMD_A,TC_1306,1
C16,470 pF,CAP_0603,CAP_0603,1
C17-C18,22 pF,CAP_0603,CAP_0603,2
"D1,D6",,SP0503BAHTG,SOT143,2
D2-D5,,SMBJ5.0A-TR,SMB,4
D7-D8,,MBR0520LT1,SOD-123,2
"D9-D10,D108,D111-D112,D114,D116,D118,D125,D128-D129,D131,D133",,805,805,13
"D101-D106,D120-D123",,SMAJ5.0CA,SMA,10
"D107,D109-D110,D113,D115,D117,D124,D126-D127,D130",,BAL99,SOT23,10
"D119,D132",,BAV99LT1,SOT23,2
ICSP1,,Atmel_ICSP,Atmel_ICSP_Normal,1
J1-J2,,CU09SAM,microUSB,2
J3,,HDR-1x3,HDR-1x3,1
J101,,DB15M,DB15M,1
L1-L6,,IND_0805,IND_0805,6
Q101-Q110,,IRLML2402,SOT23,10
"R1,R2,R5-R6,R10,R14,R133",0 Om,RES_0603,RES_0603,7
"R3-R4,R13,R101-R106,R119-R122,R132,R134",10 kOm,RES_0603,RES_0603,15
R7,4.7 kOm,RES_0603,RES_0603,1
R8-R9,220 Om,RES_0603,RES_0603,2
R11-R12,22 Om,RES_0603,RES_0603,2
"R107-R112,R123-R126",100 kOm,RES_0603,RES_0603,10
"R113-R118,R128-R131",1 kOm,RES_0603,RES_0603,10
R127,5.1 kOm,RES_0603,RES_0603,1
REL101-REL110,,G6S-2,G6S-2,10
RT1-RT2,,RES_0805,RES_0805,2
RT101,,PTCFUSE-1812,1812,1
U1,,CP2102,QFN-28/5x5x0.5,1
U2,,V_REG_MIC52193.3V,SOT23-5,1
U3,,ATMEGA32U4_QFN44,QFN-44V1/7x7x0.5,1
VO101,,LTV-817S,SDIP-4V1,1
X101,,Wago 235-102,Wago 235-102,1
Y1,,ECS-10-13-1,HC-49U,1
